instructs.started,instructs.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetX,cueOri,congr,corrAns
0.0001,16.1243,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,16.1546,18.042,-0.383575884,-0.01975052,1.0,0.0,0.0,0.8823,target,18.0425,19.0413,0.0,0.0,0.0,6.0,1.0,-0.35,0.0,1.0,left
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,19.0422,20.7741,0.326403326,-0.008316008,1.0,0.0,0.0,0.7162,target,20.7741,21.7746,0.0,1.0,1.0,13.0,1.0,0.35,0.0,0.0,right
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,21.7749,23.4413,-0.422037422,-0.028066528,1.0,0.0,0.0,0.6499,target,23.4415,24.4413,0.0,2.0,2.0,4.0,1.0,-0.35,0.0,1.0,left
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,24.4422,26.1241,-0.361746362,0.016632017,1.0,0.0,0.0,0.6662,target,26.1241,27.1246,0.0,3.0,3.0,8.0,1.0,-0.35,180.0,0.0,left
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,27.1249,28.8909,-0.358627859,-0.022869023,1.0,0.0,0.0,0.7498,target,28.891,29.8913,0.0,4.0,4.0,2.0,1.0,-0.35,0.0,1.0,left
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,29.8916,31.525,0.354469854,-0.061330561,1.0,0.0,0.0,0.6169,target,31.5252,32.5248,0.0,5.0,5.0,1.0,1.0,0.35,180.0,1.0,right
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,32.5259,34.3911,-0.349272349,-0.01975052,1.0,0.0,0.0,0.8492,target,34.3912,35.3912,0.0,6.0,6.0,0.0,1.0,-0.35,0.0,1.0,left
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,35.3919,37.1912,-0.384615385,-0.034303534,1.0,0.0,0.0,0.7831,target,37.1913,38.1911,0.0,7.0,7.0,10.0,1.0,-0.35,180.0,0.0,left
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,38.1915,39.9411,0.392931393,-0.027027027,1.0,0.0,0.0,0.7331,target,39.9413,40.9409,0.0,8.0,8.0,9.0,1.0,0.35,0.0,0.0,right
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,40.9412,42.7082,0.266112266,-0.001039501,1.0,0.0,0.0,0.7504,target,42.7083,43.7079,0.0,9.0,9.0,11.0,1.0,0.35,0.0,0.0,right
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,43.7084,45.3415,0.29002079,0.001039501,1.0,0.0,0.0,0.6169,target,45.3415,46.3419,0.0,10.0,10.0,7.0,1.0,0.35,180.0,1.0,right
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,46.3427,48.4411,-0.294178794,-0.025987526,1.0,0.0,0.0,1.0832,target,48.4411,49.4409,0.0,11.0,11.0,12.0,1.0,-0.35,180.0,0.0,left
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,49.4412,51.2745,0.328482328,-0.013513514,1.0,0.0,0.0,0.8166,target,51.2745,52.2744,0.0,12.0,12.0,3.0,1.0,0.35,180.0,1.0,right
,,1,1,2025-12-21,posner,2023.2.2,Win32,59.88023952,52.2749,54.1419,0.274428274,0.008316008,1.0,0.0,0.0,0.8501,target,54.1421,55.1413,0.0,13.0,13.0,5.0,1.0,0.35,180.0,1.0,right
